lat,lon,T_CRU_20100131
16.5,94.5,25.4752
68.5,-52.5,-9.55
29.5,119.5,3.175
-88.5,126.5,
50.5,67.5,-15.6004
43.5,109.5,-13.1001
50.5,-75.5,-22.57491
37.5,62.5,4.2
9.5,-75.5,27.20013
-87.5,114.5,
41.5,91.5,-7.25
36.5,91.5,-14.65
60.5,134.5,-36.3749
-79.5,91.5,
-78.5,-65.5,
-78.5,-75.5,
-77.5,143.5,
63.5,13.5,-7.05
-12.5,-45.5,24.900358
-1.5,-74.5,26.12517
-84.5,29.5,
-14.5,-65.5,26.72504
11.5,19.5,27.4998
-17.5,44.5,27.8746
28.5,70.5,15.325
-3.5,-72.5,25.57528
-25.5,17.5,26.3998
0.5,-78.5,17.75041
-77.5,21.5,
14.5,3.5,24.8254
30.5,0.5,8.625
66.5,-95.5,-30.95
-19.5,15.5,24.5746
-5.5,16.5,24.72466
80.5,-66.5,-27.6
62.5,37.5,-9.9499
18.5,75.5,24.0504
-83.5,-2.5,
57.5,95.5,-20.35034
16.5,-5.5,20.7248
-73.5,142.5,
57.5,126.5,-30.675
61.5,-77.5,-24.5253
55.5,24.5,-3.6252
25.5,61.5,18.7499
68.5,-115.5,-26.675
58.5,12.5,-2.15
71.5,106.5,-28.575
52.5,-88.5,-23.35027
-88.5,34.5,
37.5,-84.5,-1.275
1.5,35.5,21.92512
69.5,-83.5,-27.75
51.5,125.5,-26.2746
-86.5,58.5,
8.5,-61.5,25.39991
51.5,85.5,-18.375
-81.5,73.5,
-5.5,-72.5,25.99986
-3.5,137.5,22.824577
-85.5,107.5,
-81.5,-54.5,
11.5,9.5,23.8004
-82.5,-36.5,
32.5,119.5,2.1
65.5,139.5,-48.25
32.5,-93.5,8.575
-76.5,5.5,
54.5,112.5,-28.1748
10.5,-7.5,23.6504
-79.5,-124.5,
-26.5,134.5,31.0754
-17.5,142.5,28.1504
-3.5,29.5,20.17487
70.5,99.5,-26.825
-28.5,153.5,23.6996
-82.5,177.5,
37.5,-110.5,-1.525
27.5,14.5,14.8748
57.5,76.5,-19.52488
-85.5,-34.5,
-84.5,125.5,
-89.5,100.5,
40.5,0.5,8.6332
-17.5,139.5,28.3746
52.5,-77.5,-23.94957
-25.5,120.5,32.7503
-82.5,-166.5,
